// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

WorkloadPilot   16: 524288 op, 83676400.00 ns, 159.6001 ns/op
WorkloadPilot   17: 1048576 op, 167030000.00 ns, 159.2922 ns/op
WorkloadPilot   18: 2097152 op, 336809400.00 ns, 160.6032 ns/op
WorkloadPilot   19: 4194304 op, 670600300.00 ns, 159.8836 ns/op

OverheadWarmup   1: 4194304 op, 22801800.00 ns, 5.4364 ns/op
OverheadWarmup   2: 4194304 op, 22745500.00 ns, 5.4229 ns/op
OverheadWarmup   3: 4194304 op, 22773700.00 ns, 5.4297 ns/op
OverheadWarmup   4: 4194304 op, 22833000.00 ns, 5.4438 ns/op
OverheadWarmup   5: 4194304 op, 22723800.00 ns, 5.4178 ns/op
OverheadWarmup   6: 4194304 op, 22761800.00 ns, 5.4268 ns/op
OverheadWarmup   7: 4194304 op, 22720700.00 ns, 5.4170 ns/op

OverheadActual   1: 4194304 op, 22736700.00 ns, 5.4209 ns/op
OverheadActual   2: 4194304 op, 22708500.00 ns, 5.4141 ns/op
OverheadActual   3: 4194304 op, 22867800.00 ns, 5.4521 ns/op
OverheadActual   4: 4194304 op, 22675500.00 ns, 5.4063 ns/op
OverheadActual   5: 4194304 op, 22693200.00 ns, 5.4105 ns/op
OverheadActual   6: 4194304 op, 22699600.00 ns, 5.4120 ns/op
OverheadActual   7: 4194304 op, 22703500.00 ns, 5.4129 ns/op
OverheadActual   8: 4194304 op, 22774300.00 ns, 5.4298 ns/op
OverheadActual   9: 4194304 op, 22769600.00 ns, 5.4287 ns/op
OverheadActual  10: 4194304 op, 22876200.00 ns, 5.4541 ns/op
OverheadActual  11: 4194304 op, 22660000.00 ns, 5.4026 ns/op
OverheadActual  12: 4194304 op, 22720200.00 ns, 5.4169 ns/op
OverheadActual  13: 4194304 op, 22792600.00 ns, 5.4342 ns/op
OverheadActual  14: 4194304 op, 22845900.00 ns, 5.4469 ns/op
OverheadActual  15: 4194304 op, 22815700.00 ns, 5.4397 ns/op

WorkloadWarmup   1: 4194304 op, 651265600.00 ns, 155.2738 ns/op
WorkloadWarmup   2: 4194304 op, 651498000.00 ns, 155.3292 ns/op
WorkloadWarmup   3: 4194304 op, 668784200.00 ns, 159.4506 ns/op
WorkloadWarmup   4: 4194304 op, 664784500.00 ns, 158.4970 ns/op
WorkloadWarmup   5: 4194304 op, 645814800.00 ns, 153.9742 ns/op
WorkloadWarmup   6: 4194304 op, 644470000.00 ns, 153.6536 ns/op
WorkloadWarmup   7: 4194304 op, 666739400.00 ns, 158.9631 ns/op
WorkloadWarmup   8: 4194304 op, 728140500.00 ns, 173.6022 ns/op
