// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

WorkloadPilot    2: 32 op, 2500.00 ns, 78.1250 ns/op
WorkloadPilot    3: 64 op, 3500.00 ns, 54.6875 ns/op
WorkloadPilot    4: 128 op, 4800.00 ns, 37.5000 ns/op
WorkloadPilot    5: 256 op, 9300.00 ns, 36.3281 ns/op
WorkloadPilot    6: 512 op, 17400.00 ns, 33.9844 ns/op
WorkloadPilot    7: 1024 op, 31000.00 ns, 30.2734 ns/op
WorkloadPilot    8: 2048 op, 68700.00 ns, 33.5449 ns/op
WorkloadPilot    9: 4096 op, 125200.00 ns, 30.5664 ns/op
WorkloadPilot   10: 8192 op, 263800.00 ns, 32.2021 ns/op
WorkloadPilot   11: 16384 op, 496400.00 ns, 30.2979 ns/op
WorkloadPilot   12: 32768 op, 938500.00 ns, 28.6407 ns/op
WorkloadPilot   13: 65536 op, 1877900.00 ns, 28.6545 ns/op
WorkloadPilot   14: 131072 op, 3699600.00 ns, 28.2257 ns/op
WorkloadPilot   15: 262144 op, 7432500.00 ns, 28.3527 ns/op
WorkloadPilot   16: 524288 op, 15009900.00 ns, 28.6291 ns/op
WorkloadPilot   17: 1048576 op, 30102600.00 ns, 28.7081 ns/op
WorkloadPilot   18: 2097152 op, 59983100.00 ns, 28.6022 ns/op
WorkloadPilot   19: 4194304 op, 118762300.00 ns, 28.3151 ns/op
WorkloadPilot   20: 8388608 op, 237141600.00 ns, 28.2695 ns/op
WorkloadPilot   21: 16777216 op, 474636000.00 ns, 28.2905 ns/op
WorkloadPilot   22: 33554432 op, 953258500.00 ns, 28.4093 ns/op

OverheadWarmup   1: 33554432 op, 181882000.00 ns, 5.4205 ns/op
OverheadWarmup   2: 33554432 op, 181541700.00 ns, 5.4104 ns/op
OverheadWarmup   3: 33554432 op, 181536500.00 ns, 5.4102 ns/op
OverheadWarmup   4: 33554432 op, 182140600.00 ns, 5.4282 ns/op
OverheadWarmup   5: 33554432 op, 181566700.00 ns, 5.4111 ns/op
OverheadWarmup   6: 33554432 op, 181617900.00 ns, 5.4126 ns/op
OverheadWarmup   7: 33554432 op, 181906900.00 ns, 5.4212 ns/op
OverheadWarmup   8: 33554432 op, 181645000.00 ns, 5.4134 ns/op

OverheadActual   1: 33554432 op, 181960600.00 ns, 5.4228 ns/op
OverheadActual   2: 33554432 op, 181667000.00 ns, 5.4141 ns/op
OverheadActual   3: 33554432 op, 181662600.00 ns, 5.4140 ns/op
OverheadActual   4: 33554432 op, 181831200.00 ns, 5.4190 ns/op
OverheadActual   5: 33554432 op, 182394700.00 ns, 5.4358 ns/op
OverheadActual   6: 33554432 op, 181803400.00 ns, 5.4182 ns/op
OverheadActual   7: 33554432 op, 181705200.00 ns, 5.4152 ns/op
OverheadActual   8: 33554432 op, 182060900.00 ns, 5.4258 ns/op
OverheadActual   9: 33554432 op, 181690100.00 ns, 5.4148 ns/op
OverheadActual  10: 33554432 op, 181603900.00 ns, 5.4122 ns/op
