// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.12 sec)   *****
// Found 3 benchmarks:
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

WorkloadActual   2: 32768 op, 710976700.00 ns, 21.6973 us/op
WorkloadActual   3: 32768 op, 715690500.00 ns, 21.8411 us/op
WorkloadActual   4: 32768 op, 711023100.00 ns, 21.6987 us/op
WorkloadActual   5: 32768 op, 713141400.00 ns, 21.7633 us/op
WorkloadActual   6: 32768 op, 717142700.00 ns, 21.8855 us/op
WorkloadActual   7: 32768 op, 719349300.00 ns, 21.9528 us/op
WorkloadActual   8: 32768 op, 713192100.00 ns, 21.7649 us/op
WorkloadActual   9: 32768 op, 731705600.00 ns, 22.3299 us/op
WorkloadActual  10: 32768 op, 714849800.00 ns, 21.8155 us/op
WorkloadActual  11: 32768 op, 715653400.00 ns, 21.8400 us/op
WorkloadActual  12: 32768 op, 717836300.00 ns, 21.9066 us/op
WorkloadActual  13: 32768 op, 711543900.00 ns, 21.7146 us/op
WorkloadActual  14: 32768 op, 718022400.00 ns, 21.9123 us/op
WorkloadActual  15: 32768 op, 717486200.00 ns, 21.8959 us/op

WorkloadResult   1: 32768 op, 714800500.00 ns, 21.8140 us/op
WorkloadResult   2: 32768 op, 710905300.00 ns, 21.6951 us/op
WorkloadResult   3: 32768 op, 715619100.00 ns, 21.8390 us/op
WorkloadResult   4: 32768 op, 710951700.00 ns, 21.6965 us/op
WorkloadResult   5: 32768 op, 713070000.00 ns, 21.7612 us/op
WorkloadResult   6: 32768 op, 717071300.00 ns, 21.8833 us/op
WorkloadResult   7: 32768 op, 719277900.00 ns, 21.9506 us/op
WorkloadResult   8: 32768 op, 713120700.00 ns, 21.7627 us/op
WorkloadResult   9: 32768 op, 714778400.00 ns, 21.8133 us/op
WorkloadResult  10: 32768 op, 715582000.00 ns, 21.8378 us/op
WorkloadResult  11: 32768 op, 717764900.00 ns, 21.9044 us/op
WorkloadResult  12: 32768 op, 711472500.00 ns, 21.7124 us/op
WorkloadResult  13: 32768 op, 717951000.00 ns, 21.9101 us/op
WorkloadResult  14: 32768 op, 717414800.00 ns, 21.8938 us/op
GC:  41 0 0 791674880 32768


Mean = 21.8196 us, StdErr = 0.0224 us (0.10%); N = 14, StdDev = 0.0840 us
Min = 21.6951 us, Q1 = 21.7612 us, Median = 21.8259 us, Q3 = 21.8938 us, Max = 21.9506 us
IQR = 0.1326 us, LowerFence = 21.5623 us, UpperFence = 22.0927 us
ConfidenceInterval = [21.7249 us; 21.9143 us] (CI 99.9%), Margin = 0.0947 us (0.43% of Mean)
Skewness = -0.14, Kurtosis = 1.56, MValue = 2

// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
