// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

Skewness = 0.83, Kurtosis = 2.66, MValue = 2

// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 595400.00 ns, 595.4000 us/op
WorkloadJitting  1: 1 op, 1199200.00 ns, 1.1992 ms/op

OverheadJitting  2: 16 op, 410700.00 ns, 25.6687 us/op
WorkloadJitting  2: 16 op, 4983300.00 ns, 311.4563 us/op

WorkloadPilot    1: 16 op, 4233000.00 ns, 264.5625 us/op
WorkloadPilot    2: 32 op, 9193200.00 ns, 287.2875 us/op
WorkloadPilot    3: 64 op, 16963300.00 ns, 265.0516 us/op
WorkloadPilot    4: 128 op, 35485500.00 ns, 277.2305 us/op
WorkloadPilot    5: 256 op, 71787000.00 ns, 280.4180 us/op
WorkloadPilot    6: 512 op, 138340400.00 ns, 270.1961 us/op
WorkloadPilot    7: 1024 op, 283654300.00 ns, 277.0062 us/op
WorkloadPilot    8: 2048 op, 558400700.00 ns, 272.6566 us/op

OverheadWarmup   1: 2048 op, 36200.00 ns, 17.6758 ns/op
OverheadWarmup   2: 2048 op, 5400.00 ns, 2.6367 ns/op
OverheadWarmup   3: 2048 op, 6700.00 ns, 3.2715 ns/op
OverheadWarmup   4: 2048 op, 5200.00 ns, 2.5391 ns/op
OverheadWarmup   5: 2048 op, 7000.00 ns, 3.4180 ns/op
OverheadWarmup   6: 2048 op, 7600.00 ns, 3.7109 ns/op
OverheadWarmup   7: 2048 op, 5200.00 ns, 2.5391 ns/op

OverheadActual   1: 2048 op, 5600.00 ns, 2.7344 ns/op
OverheadActual   2: 2048 op, 6900.00 ns, 3.3691 ns/op
OverheadActual   3: 2048 op, 5200.00 ns, 2.5391 ns/op
OverheadActual   4: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadActual   5: 2048 op, 6400.00 ns, 3.1250 ns/op
OverheadActual   6: 2048 op, 8800.00 ns, 4.2969 ns/op
OverheadActual   7: 2048 op, 7200.00 ns, 3.5156 ns/op
OverheadActual   8: 2048 op, 5500.00 ns, 2.6855 ns/op
OverheadActual   9: 2048 op, 5200.00 ns, 2.5391 ns/op
OverheadActual  10: 2048 op, 12500.00 ns, 6.1035 ns/op
OverheadActual  11: 2048 op, 7800.00 ns, 3.8086 ns/op
OverheadActual  12: 2048 op, 5100.00 ns, 2.4902 ns/op
OverheadActual  13: 2048 op, 6100.00 ns, 2.9785 ns/op
OverheadActual  14: 2048 op, 15300.00 ns, 7.4707 ns/op
OverheadActual  15: 2048 op, 6700.00 ns, 3.2715 ns/op
OverheadActual  16: 2048 op, 5400.00 ns, 2.6367 ns/op
OverheadActual  17: 2048 op, 13600.00 ns, 6.6406 ns/op
OverheadActual  18: 2048 op, 5400.00 ns, 2.6367 ns/op
OverheadActual  19: 2048 op, 11500.00 ns, 5.6152 ns/op
OverheadActual  20: 2048 op, 7700.00 ns, 3.7598 ns/op

WorkloadWarmup   1: 2048 op, 558372400.00 ns, 272.6428 us/op
WorkloadWarmup   2: 2048 op, 555220700.00 ns, 271.1039 us/op
WorkloadWarmup   3: 2048 op, 557042000.00 ns, 271.9932 us/op
WorkloadWarmup   4: 2048 op, 559875700.00 ns, 273.3768 us/op
WorkloadWarmup   5: 2048 op, 551778100.00 ns, 269.4229 us/op
WorkloadWarmup   6: 2048 op, 554163400.00 ns, 270.5876 us/op
WorkloadWarmup   7: 2048 op, 554263100.00 ns, 270.6363 us/op
WorkloadWarmup   8: 2048 op, 555531700.00 ns, 271.2557 us/op
WorkloadWarmup   9: 2048 op, 557815900.00 ns, 272.3710 us/op
WorkloadWarmup  10: 2048 op, 557173100.00 ns, 272.0572 us/op

WorkloadActual   1: 2048 op, 553437000.00 ns, 270.2329 us/op
WorkloadActual   2: 2048 op, 555710100.00 ns, 271.3428 us/op
WorkloadActual   3: 2048 op, 557289800.00 ns, 272.1142 us/op
WorkloadActual   4: 2048 op, 548098000.00 ns, 267.6260 us/op
WorkloadActual   5: 2048 op, 554940700.00 ns, 270.9671 us/op
WorkloadActual   6: 2048 op, 564470400.00 ns, 275.6203 us/op
WorkloadActual   7: 2048 op, 554564500.00 ns, 270.7834 us/op
WorkloadActual   8: 2048 op, 550241700.00 ns, 268.6727 us/op
WorkloadActual   9: 2048 op, 555409900.00 ns, 271.1962 us/op
WorkloadActual  10: 2048 op, 556598000.00 ns, 271.7764 us/op
WorkloadActual  11: 2048 op, 554204300.00 ns, 270.6076 us/op
WorkloadActual  12: 2048 op, 560745900.00 ns, 273.8017 us/op
WorkloadActual  13: 2048 op, 558893600.00 ns, 272.8973 us/op
WorkloadActual  14: 2048 op, 548511900.00 ns, 267.8281 us/op
WorkloadActual  15: 2048 op, 559606000.00 ns, 273.2451 us/op

WorkloadResult   1: 2048 op, 553430450.00 ns, 270.2297 us/op
WorkloadResult   2: 2048 op, 555703550.00 ns, 271.3396 us/op
WorkloadResult   3: 2048 op, 557283250.00 ns, 272.1110 us/op
WorkloadResult   4: 2048 op, 548091450.00 ns, 267.6228 us/op
WorkloadResult   5: 2048 op, 554934150.00 ns, 270.9639 us/op
WorkloadResult   6: 2048 op, 564463850.00 ns, 275.6171 us/op
WorkloadResult   7: 2048 op, 554557950.00 ns, 270.7802 us/op
WorkloadResult   8: 2048 op, 550235150.00 ns, 268.6695 us/op
WorkloadResult   9: 2048 op, 555403350.00 ns, 271.1930 us/op
WorkloadResult  10: 2048 op, 556591450.00 ns, 271.7732 us/op
WorkloadResult  11: 2048 op, 554197750.00 ns, 270.6044 us/op
WorkloadResult  12: 2048 op, 560739350.00 ns, 273.7985 us/op
WorkloadResult  13: 2048 op, 558887050.00 ns, 272.8941 us/op
WorkloadResult  14: 2048 op, 548505350.00 ns, 267.8249 us/op
WorkloadResult  15: 2048 op, 559599450.00 ns, 273.2419 us/op
GC:  32 0 0 288315784 2048


Mean = 271.2443 us, StdErr = 0.5630 us (0.21%); N = 15, StdDev = 2.1806 us
Min = 267.6228 us, Q1 = 270.2297 us, Median = 271.1930 us, Q3 = 272.8941 us, Max = 275.6171 us
IQR = 2.6644 us, LowerFence = 266.2332 us, UpperFence = 276.8906 us
ConfidenceInterval = [268.9131 us; 273.5755 us] (CI 99.9%), Margin = 2.3312 us (0.86% of Mean)
Skewness = 0.05, Kurtosis = 2.32, MValue = 2

// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
