// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain) [Count=10000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain) [Count=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NVMJKU(Toolchain=InProcessEmitToolchain)

OverheadJitting  2: 16 op, 998300.00 ns, 62.3937 us/op
WorkloadJitting  2: 16 op, 1363600.00 ns, 85.2250 us/op

WorkloadPilot    1: 16 op, 10800.00 ns, 675.0000 ns/op
WorkloadPilot    2: 32 op, 11600.00 ns, 362.5000 ns/op
WorkloadPilot    3: 64 op, 9000.00 ns, 140.6250 ns/op
WorkloadPilot    4: 128 op, 14800.00 ns, 115.6250 ns/op
WorkloadPilot    5: 256 op, 24000.00 ns, 93.7500 ns/op
WorkloadPilot    6: 512 op, 44900.00 ns, 87.6953 ns/op
WorkloadPilot    7: 1024 op, 81400.00 ns, 79.4922 ns/op
WorkloadPilot    8: 2048 op, 167100.00 ns, 81.5918 ns/op
WorkloadPilot    9: 4096 op, 317300.00 ns, 77.4658 ns/op
WorkloadPilot   10: 8192 op, 631100.00 ns, 77.0386 ns/op
WorkloadPilot   11: 16384 op, 1434600.00 ns, 87.5610 ns/op
WorkloadPilot   12: 32768 op, 2460800.00 ns, 75.0977 ns/op
WorkloadPilot   13: 65536 op, 4967800.00 ns, 75.8026 ns/op
WorkloadPilot   14: 131072 op, 9859200.00 ns, 75.2197 ns/op
WorkloadPilot   15: 262144 op, 20145800.00 ns, 76.8501 ns/op
WorkloadPilot   16: 524288 op, 39590600.00 ns, 75.5131 ns/op
WorkloadPilot   17: 1048576 op, 79055700.00 ns, 75.3934 ns/op
WorkloadPilot   18: 2097152 op, 157891700.00 ns, 75.2886 ns/op
WorkloadPilot   19: 4194304 op, 316550900.00 ns, 75.4716 ns/op
WorkloadPilot   20: 8388608 op, 631355000.00 ns, 75.2634 ns/op

OverheadWarmup   1: 8388608 op, 44144600.00 ns, 5.2624 ns/op
OverheadWarmup   2: 8388608 op, 44047100.00 ns, 5.2508 ns/op
OverheadWarmup   3: 8388608 op, 44023600.00 ns, 5.2480 ns/op
OverheadWarmup   4: 8388608 op, 44029500.00 ns, 5.2487 ns/op
OverheadWarmup   5: 8388608 op, 44012800.00 ns, 5.2467 ns/op
OverheadWarmup   6: 8388608 op, 44179000.00 ns, 5.2665 ns/op
OverheadWarmup   7: 8388608 op, 44501200.00 ns, 5.3050 ns/op
OverheadWarmup   8: 8388608 op, 44142100.00 ns, 5.2621 ns/op

OverheadActual   1: 8388608 op, 44086400.00 ns, 5.2555 ns/op
OverheadActual   2: 8388608 op, 44091300.00 ns, 5.2561 ns/op
OverheadActual   3: 8388608 op, 44028200.00 ns, 5.2486 ns/op
OverheadActual   4: 8388608 op, 44212500.00 ns, 5.2705 ns/op
OverheadActual   5: 8388608 op, 44031300.00 ns, 5.2489 ns/op
OverheadActual   6: 8388608 op, 44438600.00 ns, 5.2975 ns/op
OverheadActual   7: 8388608 op, 44082300.00 ns, 5.2550 ns/op
OverheadActual   8: 8388608 op, 44011800.00 ns, 5.2466 ns/op
OverheadActual   9: 8388608 op, 44018400.00 ns, 5.2474 ns/op
OverheadActual  10: 8388608 op, 44019400.00 ns, 5.2475 ns/op
OverheadActual  11: 8388608 op, 43997800.00 ns, 5.2449 ns/op
OverheadActual  12: 8388608 op, 44058700.00 ns, 5.2522 ns/op
OverheadActual  13: 8388608 op, 44013800.00 ns, 5.2469 ns/op
OverheadActual  14: 8388608 op, 44036800.00 ns, 5.2496 ns/op
OverheadActual  15: 8388608 op, 44323900.00 ns, 5.2838 ns/op

WorkloadWarmup   1: 8388608 op, 634723500.00 ns, 75.6649 ns/op
WorkloadWarmup   2: 8388608 op, 634061700.00 ns, 75.5860 ns/op
WorkloadWarmup   3: 8388608 op, 634405700.00 ns, 75.6271 ns/op
WorkloadWarmup   4: 8388608 op, 642015400.00 ns, 76.5342 ns/op
WorkloadWarmup   5: 8388608 op, 687344300.00 ns, 81.9378 ns/op
WorkloadWarmup   6: 8388608 op, 633691800.00 ns, 75.5419 ns/op
WorkloadWarmup   7: 8388608 op, 637372900.00 ns, 75.9808 ns/op
WorkloadWarmup   8: 8388608 op, 633227800.00 ns, 75.4866 ns/op

WorkloadActual   1: 8388608 op, 637520300.00 ns, 75.9983 ns/op
WorkloadActual   2: 8388608 op, 634090900.00 ns, 75.5895 ns/op
WorkloadActual   3: 8388608 op, 648097900.00 ns, 77.2593 ns/op
WorkloadActual   4: 8388608 op, 637707700.00 ns, 76.0207 ns/op
WorkloadActual   5: 8388608 op, 635320700.00 ns, 75.7361 ns/op
WorkloadActual   6: 8388608 op, 633004500.00 ns, 75.4600 ns/op
WorkloadActual   7: 8388608 op, 634196200.00 ns, 75.6021 ns/op
WorkloadActual   8: 8388608 op, 636037200.00 ns, 75.8215 ns/op
WorkloadActual   9: 8388608 op, 632520800.00 ns, 75.4024 ns/op
WorkloadActual  10: 8388608 op, 632627000.00 ns, 75.4150 ns/op
WorkloadActual  11: 8388608 op, 638847400.00 ns, 76.1565 ns/op
WorkloadActual  12: 8388608 op, 638691300.00 ns, 76.1379 ns/op
WorkloadActual  13: 8388608 op, 632219000.00 ns, 75.3664 ns/op
WorkloadActual  14: 8388608 op, 635652200.00 ns, 75.7756 ns/op
WorkloadActual  15: 8388608 op, 632448700.00 ns, 75.3938 ns/op

WorkloadResult   1: 8388608 op, 593483500.00 ns, 70.7487 ns/op
WorkloadResult   2: 8388608 op, 590054100.00 ns, 70.3399 ns/op
WorkloadResult   3: 8388608 op, 593670900.00 ns, 70.7711 ns/op
WorkloadResult   4: 8388608 op, 591283900.00 ns, 70.4865 ns/op
WorkloadResult   5: 8388608 op, 588967700.00 ns, 70.2104 ns/op
WorkloadResult   6: 8388608 op, 590159400.00 ns, 70.3525 ns/op
WorkloadResult   7: 8388608 op, 592000400.00 ns, 70.5719 ns/op
WorkloadResult   8: 8388608 op, 588484000.00 ns, 70.1528 ns/op
WorkloadResult   9: 8388608 op, 588590200.00 ns, 70.1654 ns/op
WorkloadResult  10: 8388608 op, 594810600.00 ns, 70.9069 ns/op
WorkloadResult  11: 8388608 op, 594654500.00 ns, 70.8883 ns/op
WorkloadResult  12: 8388608 op, 588182200.00 ns, 70.1168 ns/op
WorkloadResult  13: 8388608 op, 591615400.00 ns, 70.5261 ns/op
WorkloadResult  14: 8388608 op, 588411900.00 ns, 70.1442 ns/op
GC:  0 0 0 0 8388608


Mean = 70.4558 ns, StdErr = 0.0766 ns (0.11%); N = 14, StdDev = 0.2866 ns
Min = 70.1168 ns, Q1 = 70.1654 ns, Median = 70.4195 ns, Q3 = 70.7487 ns, Max = 70.9069 ns
IQR = 0.5833 ns, LowerFence = 69.2904 ns, UpperFence = 71.6237 ns
