// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

OverheadActual   9: 1024 op, 3600.00 ns, 3.5156 ns/op
OverheadActual  10: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadActual  11: 1024 op, 3600.00 ns, 3.5156 ns/op
OverheadActual  12: 1024 op, 5800.00 ns, 5.6641 ns/op
OverheadActual  13: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadActual  14: 1024 op, 3600.00 ns, 3.5156 ns/op
OverheadActual  15: 1024 op, 3700.00 ns, 3.6133 ns/op

WorkloadWarmup   1: 1024 op, 676348500.00 ns, 660.4966 us/op
WorkloadWarmup   2: 1024 op, 687001500.00 ns, 670.8999 us/op
WorkloadWarmup   3: 1024 op, 683810400.00 ns, 667.7836 us/op
WorkloadWarmup   4: 1024 op, 678533600.00 ns, 662.6305 us/op
WorkloadWarmup   5: 1024 op, 685561600.00 ns, 669.4937 us/op
WorkloadWarmup   6: 1024 op, 678765500.00 ns, 662.8569 us/op

WorkloadActual   1: 1024 op, 683626500.00 ns, 667.6040 us/op
WorkloadActual   2: 1024 op, 680986200.00 ns, 665.0256 us/op
WorkloadActual   3: 1024 op, 682109500.00 ns, 666.1226 us/op
WorkloadActual   4: 1024 op, 682304100.00 ns, 666.3126 us/op
WorkloadActual   5: 1024 op, 684537700.00 ns, 668.4938 us/op
WorkloadActual   6: 1024 op, 688314900.00 ns, 672.1825 us/op
WorkloadActual   7: 1024 op, 683446800.00 ns, 667.4285 us/op
WorkloadActual   8: 1024 op, 682696600.00 ns, 666.6959 us/op
WorkloadActual   9: 1024 op, 684847000.00 ns, 668.7959 us/op
WorkloadActual  10: 1024 op, 689452400.00 ns, 673.2934 us/op
WorkloadActual  11: 1024 op, 683545600.00 ns, 667.5250 us/op
WorkloadActual  12: 1024 op, 686495200.00 ns, 670.4055 us/op
WorkloadActual  13: 1024 op, 650270400.00 ns, 635.0297 us/op
WorkloadActual  14: 1024 op, 684025200.00 ns, 667.9934 us/op
WorkloadActual  15: 1024 op, 693391600.00 ns, 677.1402 us/op

WorkloadResult   1: 1024 op, 683622900.00 ns, 667.6005 us/op
WorkloadResult   2: 1024 op, 680982600.00 ns, 665.0221 us/op
WorkloadResult   3: 1024 op, 682105900.00 ns, 666.1190 us/op
WorkloadResult   4: 1024 op, 682300500.00 ns, 666.3091 us/op
WorkloadResult   5: 1024 op, 684534100.00 ns, 668.4903 us/op
WorkloadResult   6: 1024 op, 688311300.00 ns, 672.1790 us/op
WorkloadResult   7: 1024 op, 683443200.00 ns, 667.4250 us/op
WorkloadResult   8: 1024 op, 682693000.00 ns, 666.6924 us/op
WorkloadResult   9: 1024 op, 684843400.00 ns, 668.7924 us/op
WorkloadResult  10: 1024 op, 689448800.00 ns, 673.2898 us/op
WorkloadResult  11: 1024 op, 683542000.00 ns, 667.5215 us/op
WorkloadResult  12: 1024 op, 686491600.00 ns, 670.4020 us/op
