// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 5 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomClassPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomNonRefPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomRefPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

GC:  0 0 0 0 33554432


Mean = 22.9389 ns, StdErr = 0.0590 ns (0.26%); N = 15, StdDev = 0.2285 ns
Min = 22.7552 ns, Q1 = 22.7729 ns, Median = 22.8314 ns, Q3 = 23.1903 ns, Max = 23.4156 ns
IQR = 0.4174 ns, LowerFence = 22.1469 ns, UpperFence = 23.8163 ns
ConfidenceInterval = [22.6946 ns; 23.1832 ns] (CI 99.9%), Margin = 0.2443 ns (1.06% of Mean)
Skewness = 0.93, Kurtosis = 2.19, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 408200.00 ns, 408.2000 us/op
WorkloadJitting  1: 1 op, 2328700.00 ns, 2.3287 ms/op

OverheadJitting  2: 16 op, 989100.00 ns, 61.8187 us/op
WorkloadJitting  2: 16 op, 1066700.00 ns, 66.6688 us/op

WorkloadPilot    1: 16 op, 11000.00 ns, 687.5000 ns/op
WorkloadPilot    2: 32 op, 7200.00 ns, 225.0000 ns/op
WorkloadPilot    3: 64 op, 12300.00 ns, 192.1875 ns/op
WorkloadPilot    4: 128 op, 28300.00 ns, 221.0938 ns/op
WorkloadPilot    5: 256 op, 23900.00 ns, 93.3594 ns/op
WorkloadPilot    6: 512 op, 43200.00 ns, 84.3750 ns/op
WorkloadPilot    7: 1024 op, 85800.00 ns, 83.7891 ns/op
WorkloadPilot    8: 2048 op, 177400.00 ns, 86.6211 ns/op
WorkloadPilot    9: 4096 op, 387000.00 ns, 94.4824 ns/op
WorkloadPilot   10: 8192 op, 649300.00 ns, 79.2603 ns/op
WorkloadPilot   11: 16384 op, 1412500.00 ns, 86.2122 ns/op
WorkloadPilot   12: 32768 op, 2626400.00 ns, 80.1514 ns/op
WorkloadPilot   13: 65536 op, 5717800.00 ns, 87.2467 ns/op
WorkloadPilot   14: 131072 op, 10658300.00 ns, 81.3164 ns/op
WorkloadPilot   15: 262144 op, 20971500.00 ns, 79.9999 ns/op
WorkloadPilot   16: 524288 op, 42197500.00 ns, 80.4853 ns/op
WorkloadPilot   17: 1048576 op, 82516200.00 ns, 78.6936 ns/op
WorkloadPilot   18: 2097152 op, 164862900.00 ns, 78.6128 ns/op
WorkloadPilot   19: 4194304 op, 333337300.00 ns, 79.4738 ns/op
WorkloadPilot   20: 8388608 op, 662128800.00 ns, 78.9319 ns/op

OverheadWarmup   1: 8388608 op, 45093700.00 ns, 5.3756 ns/op
OverheadWarmup   2: 8388608 op, 45117200.00 ns, 5.3784 ns/op
OverheadWarmup   3: 8388608 op, 45383200.00 ns, 5.4101 ns/op
OverheadWarmup   4: 8388608 op, 45370200.00 ns, 5.4085 ns/op
OverheadWarmup   5: 8388608 op, 45135600.00 ns, 5.3806 ns/op
OverheadWarmup   6: 8388608 op, 45035600.00 ns, 5.3687 ns/op
OverheadWarmup   7: 8388608 op, 45243600.00 ns, 5.3935 ns/op
OverheadWarmup   8: 8388608 op, 45108900.00 ns, 5.3774 ns/op

OverheadActual   1: 8388608 op, 45178600.00 ns, 5.3857 ns/op
OverheadActual   2: 8388608 op, 45205800.00 ns, 5.3890 ns/op
OverheadActual   3: 8388608 op, 45084300.00 ns, 5.3745 ns/op
OverheadActual   4: 8388608 op, 45252700.00 ns, 5.3945 ns/op
OverheadActual   5: 8388608 op, 45153500.00 ns, 5.3827 ns/op
OverheadActual   6: 8388608 op, 45119900.00 ns, 5.3787 ns/op
OverheadActual   7: 8388608 op, 45919000.00 ns, 5.4740 ns/op
OverheadActual   8: 8388608 op, 45956000.00 ns, 5.4784 ns/op
OverheadActual   9: 8388608 op, 45250500.00 ns, 5.3943 ns/op
OverheadActual  10: 8388608 op, 45259400.00 ns, 5.3953 ns/op
OverheadActual  11: 8388608 op, 45252500.00 ns, 5.3945 ns/op
OverheadActual  12: 8388608 op, 45078700.00 ns, 5.3738 ns/op
OverheadActual  13: 8388608 op, 45713100.00 ns, 5.4494 ns/op
OverheadActual  14: 8388608 op, 49162400.00 ns, 5.8606 ns/op
OverheadActual  15: 8388608 op, 45038700.00 ns, 5.3690 ns/op

WorkloadWarmup   1: 8388608 op, 663364600.00 ns, 79.0792 ns/op
WorkloadWarmup   2: 8388608 op, 655062000.00 ns, 78.0895 ns/op
WorkloadWarmup   3: 8388608 op, 655436700.00 ns, 78.1341 ns/op
WorkloadWarmup   4: 8388608 op, 661125400.00 ns, 78.8123 ns/op
WorkloadWarmup   5: 8388608 op, 661411300.00 ns, 78.8464 ns/op
WorkloadWarmup   6: 8388608 op, 667007000.00 ns, 79.5134 ns/op
WorkloadWarmup   7: 8388608 op, 665567900.00 ns, 79.3419 ns/op
WorkloadWarmup   8: 8388608 op, 665848400.00 ns, 79.3753 ns/op
WorkloadWarmup   9: 8388608 op, 664547100.00 ns, 79.2202 ns/op

WorkloadActual   1: 8388608 op, 662907000.00 ns, 79.0247 ns/op
WorkloadActual   2: 8388608 op, 664151400.00 ns, 79.1730 ns/op
WorkloadActual   3: 8388608 op, 662995400.00 ns, 79.0352 ns/op
WorkloadActual   4: 8388608 op, 661283700.00 ns, 78.8312 ns/op
WorkloadActual   5: 8388608 op, 672751900.00 ns, 80.1983 ns/op
WorkloadActual   6: 8388608 op, 681184900.00 ns, 81.2036 ns/op
WorkloadActual   7: 8388608 op, 664454500.00 ns, 79.2091 ns/op
WorkloadActual   8: 8388608 op, 662349500.00 ns, 78.9582 ns/op
